Date,Name,Year,Letterboxd URI
2016-03-16,Eternal Sunshine of the Spotless Mind,2004,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/
2016-03-16,The Social Network,2010,https://letterboxd.com/film/the-social-network/
2016-03-16,10 Cloverfield Lane,2016,https://letterboxd.com/film/10-cloverfield-lane/
2016-03-16,Deadpool,2016,https://letterboxd.com/film/deadpool/
2016-03-16,Room,2015,https://letterboxd.com/film/room-2015/
2016-03-16,Carol,2015,https://letterboxd.com/film/carol-2015/
2016-03-16,The Danish Girl,2015,https://letterboxd.com/film/the-danish-girl/
2019-05-29,Pokémon Detective Pikachu,2019,https://letterboxd.com/film/pokemon-detective-pikachu/
2019-05-29,The Wife,2017,https://letterboxd.com/film/the-wife-2017/
2019-05-29,Lady Bird,2017,https://letterboxd.com/film/lady-bird/
2019-05-29,Baby Driver,2017,https://letterboxd.com/film/baby-driver/
2019-05-29,Scott Pilgrim vs. the World,2010,https://letterboxd.com/film/scott-pilgrim-vs-the-world/
2019-05-29,Star Wars: The Last Jedi,2017,https://letterboxd.com/film/star-wars-the-last-jedi/
2019-05-29,Amélie,2001,https://letterboxd.com/film/amelie/
2019-05-29,Shaun of the Dead,2004,https://letterboxd.com/film/shaun-of-the-dead/
2019-05-29,Fantastic Mr. Fox,2009,https://letterboxd.com/film/fantastic-mr-fox/
2019-05-29,Guardians of the Galaxy Vol. 2,2017,https://letterboxd.com/film/guardians-of-the-galaxy-vol-2/
2019-05-29,Blade Runner 2049,2017,https://letterboxd.com/film/blade-runner-2049/
2019-05-29,Juno,2007,https://letterboxd.com/film/juno/
2019-05-29,The Nice Guys,2016,https://letterboxd.com/film/the-nice-guys/
2019-05-29,Good Will Hunting,1997,https://letterboxd.com/film/good-will-hunting/
2019-05-29,Magnolia,1999,https://letterboxd.com/film/magnolia/
2019-05-29,Little Miss Sunshine,2006,https://letterboxd.com/film/little-miss-sunshine/
2019-05-29,Eighth Grade,2018,https://letterboxd.com/film/eighth-grade/
2019-05-29,The Virgin Suicides,1999,https://letterboxd.com/film/the-virgin-suicides/
2019-05-29,The Life Aquatic with Steve Zissou,2004,https://letterboxd.com/film/the-life-aquatic-with-steve-zissou/
2019-05-29,Melancholia,2011,https://letterboxd.com/film/melancholia/
2019-05-29,Adaptation.,2002,https://letterboxd.com/film/adaptation/
2019-05-29,Children of Men,2006,https://letterboxd.com/film/children-of-men/
2019-05-29,Lost in Translation,2003,https://letterboxd.com/film/lost-in-translation/
2019-05-29,Lars and the Real Girl,2007,https://letterboxd.com/film/lars-and-the-real-girl/
2019-05-29,Taxi Driver,1976,https://letterboxd.com/film/taxi-driver/
2019-05-29,The Truman Show,1998,https://letterboxd.com/film/the-truman-show/
2019-05-29,Garden State,2004,https://letterboxd.com/film/garden-state/
2019-05-29,Requiem for a Dream,2000,https://letterboxd.com/film/requiem-for-a-dream/
2019-05-29,Another Earth,2011,https://letterboxd.com/film/another-earth/
2019-05-29,Locke,2013,https://letterboxd.com/film/locke/
2019-07-09,Midsommar,2019,https://letterboxd.com/film/midsommar/
2019-07-10,John Wick: Chapter 3 - Parabellum,2019,https://letterboxd.com/film/john-wick-chapter-3-parabellum/
2019-07-10,John Wick,2014,https://letterboxd.com/film/john-wick/
2019-07-23,Wind River,2017,https://letterboxd.com/film/wind-river-2017/
2019-07-23,Joseph and the Amazing Technicolor Dreamcoat,1999,https://letterboxd.com/film/joseph-and-the-amazing-technicolor-dreamcoat/
2019-07-23,You Were Never Really Here,2017,https://letterboxd.com/film/you-were-never-really-here/
2019-07-23,Toy Story 4,2019,https://letterboxd.com/film/toy-story-4/
2019-07-23,The Departed,2006,https://letterboxd.com/film/the-departed/
2019-07-23,Jurassic Park,1993,https://letterboxd.com/film/jurassic-park/
2019-07-23,The Princess Bride,1987,https://letterboxd.com/film/the-princess-bride/
2019-07-23,Step Brothers,2008,https://letterboxd.com/film/step-brothers/
2019-07-23,Jaws,1975,https://letterboxd.com/film/jaws/
2019-07-23,Moneyball,2011,https://letterboxd.com/film/moneyball/
2019-07-23,The Devil Wears Prada,2006,https://letterboxd.com/film/the-devil-wears-prada/
2019-07-23,No Country for Old Men,2007,https://letterboxd.com/film/no-country-for-old-men/
2019-07-23,Ocean's Eleven,2001,https://letterboxd.com/film/oceans-eleven-2001/
2019-07-23,The Notebook,2004,https://letterboxd.com/film/the-notebook/
2019-07-23,The Big Lebowski,1998,https://letterboxd.com/film/the-big-lebowski/
2019-07-23,Mean Girls,2004,https://letterboxd.com/film/mean-girls/
2019-07-23,Forgetting Sarah Marshall,2008,https://letterboxd.com/film/forgetting-sarah-marshall/
2019-07-23,All the President's Men,1976,https://letterboxd.com/film/all-the-presidents-men/
2019-07-23,You've Got Mail,1998,https://letterboxd.com/film/youve-got-mail/
2019-07-23,Dead Poets Society,1989,https://letterboxd.com/film/dead-poets-society/
2019-07-23,Die Hard,1988,https://letterboxd.com/film/die-hard/
2019-07-23,Get Out,2017,https://letterboxd.com/film/get-out-2017/
2019-07-23,The Hangover,2009,https://letterboxd.com/film/the-hangover/
2019-07-23,Titanic,1997,https://letterboxd.com/film/titanic-1997/
2019-07-23,The Silence of the Lambs,1991,https://letterboxd.com/film/the-silence-of-the-lambs/
2019-07-23,10 Things I Hate About You,1999,https://letterboxd.com/film/10-things-i-hate-about-you/
2019-07-23,Forrest Gump,1994,https://letterboxd.com/film/forrest-gump/
2019-07-23,Heat,1995,https://letterboxd.com/film/heat-1995/
2019-07-23,Jerry Maguire,1996,https://letterboxd.com/film/jerry-maguire/
2019-07-23,Speed,1994,https://letterboxd.com/film/speed/
2019-07-23,Pretty Woman,1990,https://letterboxd.com/film/pretty-woman/
2019-07-23,Clueless,1995,https://letterboxd.com/film/clueless/
2019-07-23,Mission: Impossible,1996,https://letterboxd.com/film/mission-impossible/
2019-07-23,Wedding Crashers,2005,https://letterboxd.com/film/wedding-crashers/
2019-07-23,Michael Clayton,2007,https://letterboxd.com/film/michael-clayton/
2019-07-23,John Wick: Chapter 2,2017,https://letterboxd.com/film/john-wick-chapter-2/
2019-07-23,Taken,2008,https://letterboxd.com/film/taken/
2019-07-23,La La Land,2016,https://letterboxd.com/film/la-la-land/
2019-07-23,Thor: Ragnarok,2017,https://letterboxd.com/film/thor-ragnarok/
2019-07-23,mother!,2017,https://letterboxd.com/film/mother-2017/
2019-07-23,Fantastic Beasts and Where to Find Them,2016,https://letterboxd.com/film/fantastic-beasts-and-where-to-find-them/
2019-07-23,Snowden,2016,https://letterboxd.com/film/snowden/
2019-07-23,"Hail, Caesar!",2016,https://letterboxd.com/film/hail-caesar-2016/
2019-07-23,Finding Dory,2016,https://letterboxd.com/film/finding-dory/
2019-07-23,Suicide Squad,2016,https://letterboxd.com/film/suicide-squad-2016/
2019-07-23,Shame,2011,https://letterboxd.com/film/shame-2011/
2019-07-23,Chinatown,1974,https://letterboxd.com/film/chinatown/
2019-07-23,"Synecdoche, New York",2008,https://letterboxd.com/film/synecdoche-new-york/
2019-07-23,School of Rock,2003,https://letterboxd.com/film/school-of-rock/
2019-07-23,Vox Lux,2018,https://letterboxd.com/film/vox-lux/
2019-07-23,Thoroughbreds,2017,https://letterboxd.com/film/thoroughbreds-2017/
2019-07-23,BlacKkKlansman,2018,https://letterboxd.com/film/blackkklansman/
2019-07-23,The Favourite,2018,https://letterboxd.com/film/the-favourite/
2019-07-23,Black Panther,2018,https://letterboxd.com/film/black-panther-2018/
2019-07-23,Vice,2018,https://letterboxd.com/film/vice-2018/
2019-07-23,When Harry Met Sally...,1989,https://letterboxd.com/film/when-harry-met-sally/
2019-07-23,Call Me by Your Name,2017,https://letterboxd.com/film/call-me-by-your-name/
2019-07-23,Phantom Thread,2017,https://letterboxd.com/film/phantom-thread/
2019-07-23,V for Vendetta,2005,https://letterboxd.com/film/v-for-vendetta/
2019-07-23,Moonlight,2016,https://letterboxd.com/film/moonlight-2016/
2019-07-23,Under the Skin,2013,https://letterboxd.com/film/under-the-skin-2013/
2019-07-23,The Master,2012,https://letterboxd.com/film/the-master-2012/
2019-07-23,The Tree of Life,2011,https://letterboxd.com/film/the-tree-of-life-2011/
2019-07-23,Personal Shopper,2016,https://letterboxd.com/film/personal-shopper/
2019-07-23,Zero Dark Thirty,2012,https://letterboxd.com/film/zero-dark-thirty/
2019-07-23,Elle,2016,https://letterboxd.com/film/elle/
2019-07-23,Jackie,2016,https://letterboxd.com/film/jackie-2016/
2019-07-23,The Handmaiden,2016,https://letterboxd.com/film/the-handmaiden/
2019-07-23,Kill Bill: Vol. 1,2003,https://letterboxd.com/film/kill-bill-vol-1/
2019-07-23,Reservoir Dogs,1992,https://letterboxd.com/film/reservoir-dogs/
2019-07-23,It,2017,https://letterboxd.com/film/it-2017/
2019-07-23,Arrival,2016,https://letterboxd.com/film/arrival-2016/
2019-07-23,Spirited Away,2001,https://letterboxd.com/film/spirited-away/
2019-07-23,2001: A Space Odyssey,1968,https://letterboxd.com/film/2001-a-space-odyssey/
2019-07-23,Coco,2017,https://letterboxd.com/film/coco-2017/
2019-07-23,First Man,2018,https://letterboxd.com/film/first-man/
2019-07-23,The Hurt Locker,2008,https://letterboxd.com/film/the-hurt-locker/
2019-07-23,Last Tango in Paris,1972,https://letterboxd.com/film/last-tango-in-paris/
2019-07-23,Casablanca,1942,https://letterboxd.com/film/casablanca/
2019-07-23,District 9,2009,https://letterboxd.com/film/district-9/
2019-07-23,One Flew Over the Cuckoo's Nest,1975,https://letterboxd.com/film/one-flew-over-the-cuckoos-nest/
2019-07-23,In the Heat of the Night,1967,https://letterboxd.com/film/in-the-heat-of-the-night/
2019-07-23,Crazy Rich Asians,2018,https://letterboxd.com/film/crazy-rich-asians/
2019-07-23,Incredibles 2,2018,https://letterboxd.com/film/incredibles-2/
2019-07-23,Bao,2018,https://letterboxd.com/film/bao-2018/
2019-07-23,Deadpool 2,2018,https://letterboxd.com/film/deadpool-2/
2019-07-23,Solo: A Star Wars Story,2018,https://letterboxd.com/film/solo-a-star-wars-story/
2019-07-23,Red Sparrow,2018,https://letterboxd.com/film/red-sparrow/
2019-07-23,A Quiet Place,2018,https://letterboxd.com/film/a-quiet-place-2018/
2019-07-23,Sorry to Bother You,2018,https://letterboxd.com/film/sorry-to-bother-you/
2019-07-23,The Commuter,2018,https://letterboxd.com/film/the-commuter/
2019-07-23,Mandy,2018,https://letterboxd.com/film/mandy-2018/
2019-07-23,"I, Tonya",2017,https://letterboxd.com/film/i-tonya/
2019-07-23,"Three Billboards Outside Ebbing, Missouri",2017,https://letterboxd.com/film/three-billboards-outside-ebbing-missouri/
2019-07-23,Okja,2017,https://letterboxd.com/film/okja/
2019-07-23,Atomic Blonde,2017,https://letterboxd.com/film/atomic-blonde/
2019-07-23,Logan,2017,https://letterboxd.com/film/logan-2017/
2019-07-23,Rogue One: A Star Wars Story,2016,https://letterboxd.com/film/rogue-one-a-star-wars-story/
2019-07-23,Split,2016,https://letterboxd.com/film/split-2016/
2019-07-23,Primer,2004,https://letterboxd.com/film/primer/
2019-07-23,"I Love You, Man",2009,https://letterboxd.com/film/i-love-you-man/
2019-07-23,Mr. Nobody,2009,https://letterboxd.com/film/mr-nobody/
2019-07-23,What We Do in the Shadows,2014,https://letterboxd.com/film/what-we-do-in-the-shadows/
2019-07-23,Being John Malkovich,1999,https://letterboxd.com/film/being-john-malkovich/
2019-07-23,The Birdcage,1996,https://letterboxd.com/film/the-birdcage/
2019-07-23,Fargo,1996,https://letterboxd.com/film/fargo/
2019-07-23,Blade Runner,1982,https://letterboxd.com/film/blade-runner/
2019-07-23,Murder Mystery,2019,https://letterboxd.com/film/murder-mystery/
2019-07-23,Homecoming: A Film by Beyoncé,2019,https://letterboxd.com/film/homecoming-a-film-by-beyonce/
2019-07-23,Venom,2018,https://letterboxd.com/film/venom-2018/
2019-07-23,Fantastic Beasts: The Crimes of Grindelwald,2018,https://letterboxd.com/film/fantastic-beasts-the-crimes-of-grindelwald/
2019-07-23,Bird Box,2018,https://letterboxd.com/film/bird-box/
2019-07-23,Widows,2018,https://letterboxd.com/film/widows-2018/
2019-07-23,Hannah Gadsby: Nanette,2018,https://letterboxd.com/film/hannah-gadsby-nanette/
2019-07-23,Ocean's Eight,2018,https://letterboxd.com/film/oceans-eight/
2019-07-23,Annihilation,2018,https://letterboxd.com/film/annihilation/
2019-07-23,The Greatest Showman,2017,https://letterboxd.com/film/the-greatest-showman/
2019-07-23,The Killing of a Sacred Deer,2017,https://letterboxd.com/film/the-killing-of-a-sacred-deer/
2019-07-23,Paddington,2014,https://letterboxd.com/film/paddington/
2019-07-23,The Intern,2015,https://letterboxd.com/film/the-intern-2015/
2019-07-23,Zootopia,2016,https://letterboxd.com/film/zootopia/
2019-07-23,The Perks of Being a Wallflower,2012,https://letterboxd.com/film/the-perks-of-being-a-wallflower/
2019-07-23,Easy A,2010,https://letterboxd.com/film/easy-a/
2019-07-23,Hancock,2008,https://letterboxd.com/film/hancock/
2019-07-23,Final Destination 3,2006,https://letterboxd.com/film/final-destination-3/
2019-07-23,Love Actually,2003,https://letterboxd.com/film/love-actually/
2019-07-23,Final Destination 2,2003,https://letterboxd.com/film/final-destination-2/
2019-07-23,Scooby-Doo,2002,https://letterboxd.com/film/scooby-doo/
2019-07-23,Spider-Man,2002,https://letterboxd.com/film/spider-man/
2019-07-23,Panic Room,2002,https://letterboxd.com/film/panic-room/
2019-07-23,American Pie 2,2001,https://letterboxd.com/film/american-pie-2/
2019-07-23,Jurassic Park III,2001,https://letterboxd.com/film/jurassic-park-iii/
2019-07-23,Mulan,1998,https://letterboxd.com/film/mulan/
2019-07-23,Notting Hill,1999,https://letterboxd.com/film/notting-hill/
2019-07-23,The Matrix,1999,https://letterboxd.com/film/the-matrix/
2019-07-23,American Pie,1999,https://letterboxd.com/film/american-pie/
2019-07-23,Charlie's Angels,2000,https://letterboxd.com/film/charlies-angels/
2019-07-23,Misery,1990,https://letterboxd.com/film/misery/
2019-07-23,Home Alone 2: Lost in New York,1992,https://letterboxd.com/film/home-alone-2-lost-in-new-york/
2019-07-23,Snow White and the Seven Dwarfs,1937,https://letterboxd.com/film/snow-white-and-the-seven-dwarfs/
2019-07-23,Pinocchio,1940,https://letterboxd.com/film/pinocchio/
2019-07-23,Dumbo,1941,https://letterboxd.com/film/dumbo/
2019-07-23,Bambi,1942,https://letterboxd.com/film/bambi/
2019-07-23,Alice in Wonderland,1951,https://letterboxd.com/film/alice-in-wonderland-1951/
2019-07-23,Cinderella,1950,https://letterboxd.com/film/cinderella/
2019-07-23,Lady and the Tramp,1955,https://letterboxd.com/film/lady-and-the-tramp/
2019-07-23,Sleeping Beauty,1959,https://letterboxd.com/film/sleeping-beauty/
2019-07-23,One Hundred and One Dalmatians,1961,https://letterboxd.com/film/one-hundred-and-one-dalmatians/
2019-07-23,The Sword in the Stone,1963,https://letterboxd.com/film/the-sword-in-the-stone/
2019-07-23,The Jungle Book,1967,https://letterboxd.com/film/the-jungle-book/
2019-07-23,The Little Mermaid,1989,https://letterboxd.com/film/the-little-mermaid/
2019-07-23,Beauty and the Beast,1991,https://letterboxd.com/film/beauty-and-the-beast-1991/
2019-07-23,Aladdin,1992,https://letterboxd.com/film/aladdin/
2019-07-23,The Nightmare Before Christmas,1993,https://letterboxd.com/film/the-nightmare-before-christmas/
2019-07-23,The Lion King,1994,https://letterboxd.com/film/the-lion-king/
2019-07-23,Pocahontas,1995,https://letterboxd.com/film/pocahontas/
2019-07-23,Toy Story,1995,https://letterboxd.com/film/toy-story/
2019-07-23,Hercules,1997,https://letterboxd.com/film/hercules-1997/
2019-07-23,A Bug's Life,1998,https://letterboxd.com/film/a-bugs-life/
2019-07-23,Beauty and the Beast: The Enchanted Christmas,1997,https://letterboxd.com/film/beauty-and-the-beast-the-enchanted-christmas/
2019-07-23,The Lion King II: Simba's Pride,1998,https://letterboxd.com/film/the-lion-king-ii-simbas-pride/
2019-07-23,Pocahontas II: Journey to a New World,1998,https://letterboxd.com/film/pocahontas-ii-journey-to-a-new-world/
2019-07-23,Tarzan,1999,https://letterboxd.com/film/tarzan/
2019-07-23,Toy Story 2,1999,https://letterboxd.com/film/toy-story-2/
2019-07-23,Dinosaur,2000,https://letterboxd.com/film/dinosaur/
2019-07-23,The Emperor's New Groove,2000,https://letterboxd.com/film/the-emperors-new-groove/
2019-07-23,"Monsters, Inc.",2001,https://letterboxd.com/film/monsters-inc/
2019-07-23,Lilo & Stitch,2002,https://letterboxd.com/film/lilo-stitch/
2019-07-23,Treasure Planet,2002,https://letterboxd.com/film/treasure-planet/
2019-07-23,Finding Nemo,2003,https://letterboxd.com/film/finding-nemo/
2019-07-23,Brother Bear,2003,https://letterboxd.com/film/brother-bear/
2019-07-23,The Lion King 1½,2004,https://letterboxd.com/film/the-lion-king-3-hakuna-matata/
2019-07-23,The Incredibles,2004,https://letterboxd.com/film/the-incredibles/
2019-07-23,Ratatouille,2007,https://letterboxd.com/film/ratatouille/
2019-07-23,WALL·E,2008,https://letterboxd.com/film/walle/
2019-07-23,Up,2009,https://letterboxd.com/film/up/
2019-07-23,The Princess and the Frog,2009,https://letterboxd.com/film/the-princess-and-the-frog/
2019-07-23,Toy Story 3,2010,https://letterboxd.com/film/toy-story-3/
2019-07-23,Tangled,2010,https://letterboxd.com/film/tangled-2010/
2019-07-23,Cars 2,2011,https://letterboxd.com/film/cars-2/
2019-07-23,Monsters University,2013,https://letterboxd.com/film/monsters-university/
2019-07-23,Wreck-It Ralph,2012,https://letterboxd.com/film/wreck-it-ralph/
2019-07-23,Frankenweenie,2012,https://letterboxd.com/film/frankenweenie-2012/
2019-07-23,Brave,2012,https://letterboxd.com/film/brave-2012/
2019-07-23,Frozen,2013,https://letterboxd.com/film/frozen-2013/
2019-07-23,Big Hero 6,2014,https://letterboxd.com/film/big-hero-6/
2019-07-23,The Good Dinosaur,2015,https://letterboxd.com/film/the-good-dinosaur/
2019-07-23,Moana,2016,https://letterboxd.com/film/moana-2016/
2019-07-23,Final Destination,2000,https://letterboxd.com/film/final-destination/
2019-07-23,The Final Destination,2009,https://letterboxd.com/film/the-final-destination/
2019-07-23,Final Destination 5,2011,https://letterboxd.com/film/final-destination-5/
2019-07-23,Silver Linings Playbook,2012,https://letterboxd.com/film/silver-linings-playbook/
2019-07-23,The Lord of the Rings: The Fellowship of the Ring,2001,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/
2019-07-23,The Lord of the Rings: The Two Towers,2002,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/
2019-07-23,The Lord of the Rings: The Return of the King,2003,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/
2019-07-23,Harry Potter and the Goblet of Fire,2005,https://letterboxd.com/film/harry-potter-and-the-goblet-of-fire/
2019-07-23,Harry Potter and the Chamber of Secrets,2002,https://letterboxd.com/film/harry-potter-and-the-chamber-of-secrets/
2019-07-23,Harry Potter and the Deathly Hallows: Part 1,2010,https://letterboxd.com/film/harry-potter-and-the-deathly-hallows-part-1/
2019-07-23,Harry Potter and the Half-Blood Prince,2009,https://letterboxd.com/film/harry-potter-and-the-half-blood-prince/
2019-07-23,Harry Potter and the Prisoner of Azkaban,2004,https://letterboxd.com/film/harry-potter-and-the-prisoner-of-azkaban/
2019-07-23,Harry Potter and the Order of the Phoenix,2007,https://letterboxd.com/film/harry-potter-and-the-order-of-the-phoenix/
2019-07-23,Harry Potter and the Deathly Hallows: Part 2,2011,https://letterboxd.com/film/harry-potter-and-the-deathly-hallows-part-2/
2019-07-23,Harry Potter and the Philosopher's Stone,2001,https://letterboxd.com/film/harry-potter-and-the-philosophers-stone/
2019-07-23,American Made,2017,https://letterboxd.com/film/american-made/
2019-07-23,Jumanji: Welcome to the Jungle,2017,https://letterboxd.com/film/jumanji-welcome-to-the-jungle/
2019-07-23,Mission: Impossible - Ghost Protocol,2011,https://letterboxd.com/film/mission-impossible-ghost-protocol/
2019-07-23,Ocean's Twelve,2004,https://letterboxd.com/film/oceans-twelve/
2019-07-23,Sicario,2015,https://letterboxd.com/film/sicario-2015/
2019-07-23,Sicario: Day of the Soldado,2018,https://letterboxd.com/film/sicario-day-of-the-soldado/
2019-07-23,The Adjustment Bureau,2011,https://letterboxd.com/film/the-adjustment-bureau/
2019-07-23,The Founder,2016,https://letterboxd.com/film/the-founder/
2019-07-23,The Day After Tomorrow,2004,https://letterboxd.com/film/the-day-after-tomorrow/
2019-07-23,The Pursuit of Happyness,2006,https://letterboxd.com/film/the-pursuit-of-happyness/
2019-07-23,Punch-Drunk Love,2002,https://letterboxd.com/film/punch-drunk-love/
2019-07-23,12 Angry Men,1957,https://letterboxd.com/film/12-angry-men/
2019-07-23,The Shawshank Redemption,1994,https://letterboxd.com/film/the-shawshank-redemption/
2019-07-23,GoodFellas,1990,https://letterboxd.com/film/goodfellas/
2019-07-23,There Will Be Blood,2007,https://letterboxd.com/film/there-will-be-blood/
2019-07-25,Black Mirror: Smithereens,2019,https://letterboxd.com/film/black-mirror-smithereens/
2019-07-25,"Black Mirror: Rachel, Jack and Ashley Too",2019,https://letterboxd.com/film/black-mirror-rachel-jack-and-ashley-too/
2019-07-26,Long Shot,2019,https://letterboxd.com/film/long-shot-2019/
2019-08-01,Do the Right Thing,1989,https://letterboxd.com/film/do-the-right-thing/
2019-08-10,Euphoria,2019,
2019-09-01,Mary Queen of Scots,2018,https://letterboxd.com/film/mary-queen-of-scots-2018/
2019-09-02,The Souvenir,2019,https://letterboxd.com/film/the-souvenir/
2019-09-07,Her Smell,2018,https://letterboxd.com/film/her-smell/
2019-09-07,The Town,2010,https://letterboxd.com/film/the-town/
2019-09-15,Shoplifters,2018,https://letterboxd.com/film/shoplifters/
2019-10-09,Joker,2019,https://letterboxd.com/film/joker-2019/
2019-10-11,Peterloo,2018,https://letterboxd.com/film/peterloo/
2019-10-19,The Art of Self-Defense,2019,https://letterboxd.com/film/the-art-of-self-defense-2019/
2019-10-24,The Laundromat,2019,https://letterboxd.com/film/the-laundromat-2019/
2019-10-25,Us,2019,https://letterboxd.com/film/us-2019/
2019-10-27,Dunkirk,2017,https://letterboxd.com/film/dunkirk-2017/
2019-11-02,The King,2019,https://letterboxd.com/film/the-king-2019/
2019-12-18,The Irishman,2019,https://letterboxd.com/film/the-irishman-2019/
2019-12-18,Knives Out,2019,https://letterboxd.com/film/knives-out-2019/
2019-12-21,All Is True,2018,https://letterboxd.com/film/all-is-true/
2019-12-21,Booksmart,2019,https://letterboxd.com/film/booksmart/
2019-12-21,Marriage Story,2019,https://letterboxd.com/film/marriage-story-2019/
2019-12-23,Paddington 2,2017,https://letterboxd.com/film/paddington-2/
2019-12-24,The Two Popes,2019,https://letterboxd.com/film/the-two-popes/
2019-12-29,Little Women,2019,https://letterboxd.com/film/little-women-2019/
2019-12-30,Ad Astra,2019,https://letterboxd.com/film/ad-astra-2019/
2019-12-30,A Private War,2018,https://letterboxd.com/film/a-private-war/
2019-12-30,John Mulaney & The Sack Lunch Bunch,2019,https://letterboxd.com/film/john-mulaney-the-sack-lunch-bunch/
2019-12-31,The Happy Prince,2018,https://letterboxd.com/film/the-happy-prince-2018/
2019-12-31,The Talented Mr. Ripley,1999,https://letterboxd.com/film/the-talented-mr-ripley/
2019-12-31,Pawn Sacrifice,2014,https://letterboxd.com/film/pawn-sacrifice/
2020-01-01,Klaus,2019,https://letterboxd.com/film/klaus/
2020-01-01,Jojo Rabbit,2019,https://letterboxd.com/film/jojo-rabbit/
2020-01-04,Parasite,2019,https://letterboxd.com/film/parasite-2019/
2020-01-05,Hustlers,2019,https://letterboxd.com/film/hustlers-2019/
2020-01-12,Star Wars: The Rise of Skywalker,2019,https://letterboxd.com/film/star-wars-the-rise-of-skywalker/
2020-01-13,1917,2019,https://letterboxd.com/film/1917/
